,Title,Score,Score Title,Number of Reviews,Description,Nearest Metropolis,City,Hotel Brand,Type,Star
0,Chateau Marmont,8.6, Excellent ,360,"Located in Hollywood, California, this boutique hotel modeled after a castle features a heated outdoor pool surrounded by gardens. ",Los Angeles,Hollywood,Local,Hotel,4
1,Mr C Beverly Hills,8.4, Very Good ,389,Mr C Beverly Hills is just 15 minutes' walk from the famous Rodeo Drive Shopping District. ,Los Angeles,Beverly Hills,Local,Hotel,4
2,Hotel Figueroa Downtown Los Angeles,8.7, Excellent ,624,"Offering a tranquil outdoor pool and an on-site restaurant, Hotel Figueroa is located across the street from the LA Live entertainment complex, which is home to Microsoft Theater & Staples Center. ",Los Angeles,Downtown LA,Local,Hotel,4
3,Sunset Tower Hotel,8.7, Excellent ,141,"The Sunset Tower Hotel hotel is located in West Hollywood on the Sunset Strip, 2.5 mi from the Hollywood Walk of Fame. ",Los Angeles,West Hollywood,Local,Hotel,4
4,Huntington Hotel,9.0, Awesome ,695,"Located at the top of Nob Hill in downtown San Francisco, overlooks Grace Cathedral. This luxury hotel features spacious rooms and an award-winning spa. ",San Francisco,Nob Hill,Local,Hotel,4
5,La Maison Hotel,9.7, Exceptional ,182,"Featuring an outdoor pool and terrace, this Palm Springs hotel is within 3 miles of Palm Springs International Airport and downtown Palm Springs. Free poolside wine and beer is available daily. ",Palm Springs,Palm Springs Uptown,Local,Hotel,4
6,Desert Riviera Hotel,9.7, Exceptional ,62,"Featuring free WiFi and an outdoor heated pool, Desert Riviera Hotel offers tranquil garden surroundings and spectacular mountain views. Free private parking is available at this adults’ only hotel. ",Palm Springs,Palm Springs Uptown,Local,Hotel,4
7,Blue Sands Inn,9.1, Awesome ,377,Blue Sands Inn has rooms in Santa Barbara near Kunin Wines and Santa Barbara Winery. All rooms feature a flat-screen TV with cable channels and a private bathroom. ,Santa Barbara,East Beach,Local,Hotel,4
8,Montecito Inn,8.3, Very Good ,454,"Less than 10 minutes’ walk to the beach, this Santa Barbara area historic boutique inn offers a daily continental breakfast. A flat-screen cable TV is available in all guest rooms. ",Santa Barbara,Montecito,Local,Hotel,4
9,Spanish Garden Inn,9.3, Awesome ,274,"A heated outdoor pool features at this Santa Barbara property. A free deluxe continental breakfast, underground parking and WiFi are provided. A refrigerator is included in each room. ",Santa Barbara,Santa Barbara Downtown,Local,Hotel,4
10,Hyatt Centric Santa Barbara,7.2, Good ,506,This Santa Barbara beachfront resort offers an outdoor pool with a poolside lounge. Sterns Wharf and State Street shops’ is 5 minutes’ drive away. ,Santa Barbara,East Beach,Hyatt,Hotel,4
11,Kimpton Goodland,7.9, Good ,263,"Featuring an outdoor pool, this hotel offers an on-site restaurant. A flat-screen TV and free WiFi are offered in each contemporary room. ",Santa Barbara,Goleta,Kimpton,Hotel,4
12,Kimpton Canary Hotel,8.8, Excellent ,214,This stylish Santa Barbara hotel features an outdoor rooftop swimming pool and a lounge with stunning views. Centrally located State Street is 5 minutes’ walk away. Each guest room includes free WiFi....,Santa Barbara,Santa Barbara Downtown,Kimpton,Hotel,4
13,Horton Grand Hotel,8.5, Very Good ,1036,"Located in the heart of San Diego’s historic Gaslamp Quarter, guests of this hotel can stroll through 16 blocks of Victorian architecture and shops. Each charming room features a gas burning...",San Diego,Downtown San Diego,Local,Hotel,4
14,Omni San Diego Hotel,8.9, Excellent ,581,"Featuring an outdoor pool and a spa, this San Diego hotel is a 5-minute walk to PETCO Park and a 10-minute walk to the San Diego Convention Center. ",San Diego,Downtown San Diego,Omni,Hotel,4
15,InterContinental San Diego,8.5, Very Good ,130,"Located on the San Diego waterfront, this urban boutique hotel features guest rooms with floor-to-ceiling windows with striking San Diego Bay views. ",San Diego,Downtown San Diego,Intercontinental,Hotel,4
16,Hotel Shattuck Plaza,8.3, Very Good ,330,"Only 2 blocks from the University of California - Berkeley campus, this San Francisco Bay area hotel offers comfortable guestrooms with modern amenities and on-site dining options. ",San Francisco,Downtown Berkeley,Local,Hotel,4
17,Hilton San Diego Mission Valley,8.0, Very Good ,1512,"Centrally located in San Diego’s Mission Valley, Hilton San Diego Mission Valley offers an outdoor heated pool and a restaurant with a lounge on site. ",San Diego,Mission Valley,Hilton,Hotel,4
18,Hyatt Regency La Jolla at Aventine,8.5, Very Good ,1037,"Located 5 miles from La Jolla town center, this hotel features an outdoor heated pool and hot tub. All rooms are equipped with iHome docking stations. Guest can enjoy several on-site dining options. ",San Diego,La Jolla,Hyatt,Hotel,4
19,Gaslamp Plaza Suites,8.4, Very Good ,1017,"Set in San Diego’s vibrant Gaslamp Quarter, Gaslamp Plaza Suites is a historical, European-style hotel built in 1913. ",San Diego,Downtown San Diego,Local,Hotel,4
20,Hyatt Regency Mission Bay Spa and Marina,7.7, Good ,1287,"Located on San Diego’s picturesque Mission Bay, Hyatt Regency Mission Bay Spa and Marina features contemporary guest rooms, an environmentally friendly spa and an on-site marina. ",San Diego,Mission Bay,Hyatt,Hotel,4
21,Napa River Inn,9.1, Awesome ,385,"In downtown Napa, this boutique hotel is in the historic Napa Mill. It offers free shuttle services within the downtown area, free Wi-Fi and a gourmet market with wine shop. ",Napa,Downtown Napa,Local,Hotel,4
22,Hilton La Jolla Torrey Pines,8.3, Very Good ,638,"In the La Jolla hills, this California hotel offers luxurious facilities overlooking Torrey Pines Golf Course and the Pacific Ocean, just minutes from Central San Diego, Encinitas and Del March. ",San Diego,La Jolla,Hilton,Hotel,4
23,DoubleTree By Hilton San Diego Hotel Circle,7.5, Good ,749,"Ideally situated just off I-8 and only a short drive from the downtown area attractions, this hotel features spacious and modern accommodations, complete with in-room refrigerators. ",San Diego,Mission Valley,Hilton,Hotel,4
24,San Diego Marriott Marquis and Marina,8.7, Excellent ,498,"This 4-star hotel, located in downtown San Diego, offers scenic views of the waterfront and San Diego Bay. Guests can relax in the hotel’s outdoor swimming pool and hot tub or visit the on-site spa. ",San Diego,Downtown San Diego,Marriott,Hotel,4
25,Manchester Grand Hyatt San Diego,8.9, Excellent ,2611,Manchester Grand Hyatt San Diego is a luxury resort hotel located in Downtown San Diego that features Top of Hyatt Lounge and Bar with a spectacular view 40 stories above San Diego Bay. ,San Diego,Downtown San Diego,Hyatt,Hotel,4
26,Embassy Suites by Hilton San Diego Bay Downtown,8.3, Very Good ,628,"Centrally located in Downtown San Diego, Embassy Suites by Hilton San Diego Bay Downtown offers an indoor pool and a fitness center. ",San Diego,Downtown San Diego,Hilton,Hotel,4
27,Andaz San Diego - a Concept by Hyatt,8.8, Excellent ,414,"Located in the Gaslamp District, Andaz San Diego - a Concept by Hyatt is 0.9 mi from the San Diego Convention Center. ",San Diego,Downtown San Diego,Hyatt,Hotel,4
28,Homewood Suites by Hilton San Diego Downtown/Bayside,8.5, Very Good ,599,"Offering a year-round outdoor pool, Homewood Suites by Hilton San Diego Downtown/Bayside is set in San Diego, 1 mi from Downtown San Diego. ",San Diego,Downtown San Diego,Hilton,Hotel,4
29,Sheraton San Diego Hotel & Marina,8.2, Very Good ,1820,"Offering a free 24-hour transfer service to San Diego International Airport, this eco-friendly hotel features 5 restaurants, 3 outdoor heated pools and an on-site spa. All rooms have flat-screen...",San Diego,Harbor Island,Sheraton,Hotel,4
